"DA1","DA2","D-A3","Load-A1","Load-A2","Load-A3","T-A1","T-A2","T-A3","","latencia","arquitectura"
"0.0273646","0.0187116","0.0241849","3,726,166,667","2,734,533,333","2,995,088,889","3,643,377,778","2,651,911,111","2,959,177,778","","0.0273646","A1"
"0.0276739","0.0191561","0.0240802","4,437,083,333","3,254,866,667","3,556,744,444","4,338,488,889","3,156,355,556","3,424,388,889","","0.0276739","A1"
"0.0277977","0.0191746","0.0240621","4,674,055,556","3,428,311,111","3,743,962,963","4,570,192,593","3,324,503,704","3,579,459,259","","0.0277977","A1"
"0.0278321","0.0192456","0.0241349","4,792,541,667","3,515,033,333","3,837,572,222","4,686,044,444","3,408,577,778","3,656,994,444","","0.0278321","A1"
"0.0279111","0.0192953","0.0241191","4,863,633,333","3,567,066,667","3,893,737,778","4,755,555,556","3,459,022,222","3,703,515,556","","0.0279111","A1"
"0.0279723","0.0193395","0.0241131","4,911,027,778","3,601,755,556","3,931,181,481","4,801,896,296","3,492,651,852","373,452,963","","0.0279723","A1"
"0.0281178","0.0193524","0.0241216","4,944,880,952","3,626,533,333","3,957,926,984","4,834,996,825","3,516,673,016","375,668,254","","0.0281178","A1"
"0.0281733","0.019377","0.0241358","4,970,270,833","3,645,116,667","3,977,986,111","4,859,822,222","3,534,688,889","3,773,297,222","","0.0281733","A1"
"0.0282235","0.0193837","0.0240949","4,990,018,519","365,957,037","3,993,587,654","4,879,130,864","3,548,701,235","3,786,219,753","","0.0282235","A1"
"0.0282658","0.0194043","0.024074","5,005,816,667","3,671,133,333","4,006,068,889","4,894,577,778","3,559,911,111","3,796,557,778","","0.0282658","A1"
"0.0282885","0.0194182","0.0240654","5,018,742,424","3,680,593,939","4,016,280,808","4,907,216,162","3,569,082,828","3,805,016,162","","0.0282885","A1"
"0.0283503","0.0194267","0.0240767","5,029,513,889","3,688,477,778","4,024,790,741","4,917,748,148","3,576,725,926","3,812,064,815","","0.0283503","A1"
"0.0283777","0.0194364","0.0240687","5,038,628,205","3,695,148,718","4,031,991,453","4,926,659,829","3,583,193,162","381,802,906","","0.0283777","A1"
"0.0283874","0.019451","0.0240806","5,046,440,476","3,700,866,667","4,038,163,492","493,429,841,299,999","3,588,736,508","382,314,127","","0.0283874","A1"
"0.0283998","0.0194525","0.0240547","5,053,211,111","3,705,822,222","4,043,512,593","4,940,918,519","3,593,540,741","3,827,571,852","","0.0283998","A1"
"0.0284333","0.0194549","0.0240662","5,059,135,417","3,710,158,333","4,048,193,056","4,946,711,111","3,597,744,444","3,831,448,611","","0.0284333","A1"
"0.0284324","0.0194646","0.0240612","5,064,362,745","3,713,984,314","4,052,322,876","4,951,822,222","3,601,453,595","3,834,869,281","","0.0284324","A1"
"0.0284314","0.0194706","0.0240683","5,069,009,259","3,717,385,185","4,055,993,827","4,956,365,432","3,604,750,617","3,837,909,877","","0.0284314","A1"
"0.0284588","0.0194676","0.0240782","5,073,166,667","372,042,807","4,059,278,363","4,960,430,409","3,607,700,585","3,840,630,409","","0.0284588","A1"
"0.0284841","0.0194837","0.0240816","5,076,908,333","3,723,166,667","4,062,234,444","4,964,088,889","3,610,355,556","3,843,078,889","","0.0284841","A1"
"0.0284972","0.0194758","0.0240653","5,080,293,651","3,725,644,444","4,064,908,995","496,739,894,199,999","3,612,757,672","384,529,418","","0.0284972","A1"
